4.7442,3.2707,8.0149
4.7794,3.2879,8.0673
4.448,3.3051,7.7531
4.0156,3.3223,7.338
3.8922,3.3396,7.2318
4.1428,3.3568,7.4996
4.5578,3.374,7.9318
4.7001,3.3912,8.0913
4.4648,3.4084,7.8732
4.0092,3.4256,7.4348
3.7803,3.4428,7.2231
3.9292,3.4601,7.3892
4.3455,3.4773,7.8228
4.5901,3.4945,8.0846
4.4599,3.5117,7.9716
4.0249,3.5289,7.5538
3.699,3.5461,7.2452
3.741,3.5633,7.3043
4.1159,3.5806,7.6965
4.4494,3.5978,8.0472
4.4271,3.615,8.0421
4.052,3.6322,7.6841
3.6484,3.6494,7.2978
3.5822,3.6666,7.2488
3.8819,3.6838,7.5658
4.2784,3.7011,7.9795
4.3641,3.7183,8.0824
4.076,3.7355,7.8115
3.6274,3.7527,7.3801
3.454,3.7699,7.2239
3.658,3.7871,7.4451
4.0792,3.8043,7.8835
4.2704,3.8216,8.0919
4.0838,3.8388,7.9225
3.6324,3.856,7.4884
3.3565,3.8732,7.2296
3.4555,3.8904,7.3459
3.8574,3.9076,7.765
4.146,3.9248,8.0709
4.0663,3.9421,8.0084
3.6551,3.9593,7.6143
3.2896,3.9765,7.2661
3.2808,3.9937,7.2745
3.6239,4.0109,7.6348
3.9911,4.0281,8.0192
4.0195,4.0453,8.0648
3.6825,4.0626,7.7451
3.2531,4.0798,7.3328
3.1363,4.097,7.2333
3.393,4.1142,7.5072
3.8064,4.1314,7.9378
3.9421,4.1486,8.0907
3.7004,4.1658,7.8663
3.2449,4.1831,7.428
3.0225,4.2003,7.2228
3.178,4.2175,7.3955
3.5955,4.2347,7.8302
3.834,4.2519,8.0859
3.6971,4.2691,7.9663
3.2596,4.2863,7.5459
2.9393,4.3036,7.2429
2.988,4.3208,7.3088
3.3667,4.338,7.7046
3.6952,4.3552,8.0504
3.6662,4.3724,8.0386
3.2863,4.3896,7.6759
2.8868,4.4068,7.2936
2.8273,4.4241,7.2514
3.1325,4.4413,7.5738
3.5261,4.4585,7.9846
3.6051,4.4757,8.0807
3.311,4.4929,7.8039
2.864,4.5101,7.3741
2.6972,4.5273,7.2246
2.9076,4.5446,7.4522
3.3285,4.5618,7.8903
3.5133,4.579,8.0922
3.3201,4.5962,7.9163
2.8676,4.6134,7.481
2.5978,4.6306,7.2284
